Team
Birmingham City
Blackburn Rovers
Bristol City
Charlton Athletic
Coventry City
Derby County
Hull City
Ipswich Town
Leicester City
Middlesbrough
Millwall
Norwich City
Oxford United
Portsmouth
Preston North End
Queens Park Rangers
Sheffield United
Sheffield Wednesday
Southampton
Stoke City
Swansea City
Watford
West Bromwich Albion
Wrexham
