Team
Bournemouth
Arsenal
Aston Villa
Brentford
Brighton
Burnley
Chelsea
Crystal Palace
Everton
Fulham
Leeds
Liverpool
Man City
Man Utd
Newcastle
Nott'm Forest
Sunderland
Spurs
West Ham
Wolves
